date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,url_source1,url_source2,countlove,wiki,ipsos
2020-05-28,Vallejo,California,100,100,100,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_California,https://www.timesheraldonline.com/about-100-march-to-vallejo-police-station-to-protest-floyd-death,1,1,0
2020-05-28,Phoenix,Arizona,200,100,150,1,0,1,1,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Arizona,https://www.azcentral.com/story/news/local/phoenix/2020/05/29/8-arrested-phoenix-protest-police-chief-jeri-williams-condemns-george-floyd-death-minneapolis/5284290002/,1,1,1
2020-05-28,Birmingham,Alabama,100,100,100,NA,NA,NA,NA,NA,https://www.al.com/news/birmingham/2020/05/we-should-be-fed-up-birmingham-activists-protest-george-floyds-death.html,1,0,0
2020-05-29,Cheyenne,Wyoming,125,125,125,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Wyoming,https://trib.com/news/local/crime-and-courts/casper-police-encourage-businesses-to-temporarily-close-wednesday-during-expected-protest/article_5c09c2ce-3251-5c67-aa40-46a1d0015533.html,1,1,1
2020-05-29,Appleton,Wisconsin,NA,NA,NA,0,0,0,0,NA,NA,0,0,1
2020-05-29,LaCrosse,Wisconsin,NA,NA,NA,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Wisconsin,https://lacrossetribune.com/news/local/la-crosse-police-mayor-decry-killing-of-george-floyd-thank-local-protesters-for-civility/article_bc90b114-09ff-58a9-bc7a-9e019877aef0.html,1,1,0
2020-05-29,Milwaukee,Wisconsin,100,100,100,0,0,1,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Wisconsin,https://www.jsonline.com/story/news/2020/05/30/james-causey-dont-let-looters-obscure-message-change-must-come/5292055002/,1,1,0
2020-05-29,Wausau,Wisconsin,150,100,125,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Wisconsin,https://www.wausaudailyherald.com/story/news/2020/05/29/wausau-black-lives-matter-protest-gathers-solidarity-george-floyd-black-americans-killed-police/5282667002/,1,1,0
2020-05-29,Morgantown,WestVirginia,NA,NA,NA,NA,NA,NA,NA,NA,https://www.dominionpost.com/2020/05/29/black-lives-matter-protesters-fight-against-police-brutality-at-morgantowns-public-safety-building/,1,0,0
2020-05-29,Bellingham,Washington,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bellinghamherald.com/news/local/article243223466.html,1,0,0
2020-05-29,Bellingham,Washington,200,200,200,0,0,0,0,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Washington_(state),NA,0,1,0
